Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,BIOMATERIAL_PROVIDER
SRR15595118,6 month,RNA-Seq,300,6910628400,PRJNA752933,SAMN20956701,Plant,2117707257,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX11892814,China,Asia,"China: Guangxi\, Rongan",Illumina HiSeq 2500,NGS-root-3,PAIRED,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,2021-08-24T00:00:00Z,2021-08-24T11:24:00Z,1,NGS-root-3,SRP333870,root,
SRR15595119,6 month,RNA-Seq,300,7827502500,PRJNA752933,SAMN20956700,Plant,2474049026,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX11892813,China,Asia,"China: Guangxi\, Rongan",Illumina HiSeq 2500,NGS-root-2,PAIRED,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,2021-08-24T00:00:00Z,2021-08-24T11:28:00Z,1,NGS-root-2,SRP333870,root,
SRR15595120,6 month,RNA-Seq,300,8822907600,PRJNA752933,SAMN20956698,Plant,2713115396,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX11892811,China,Asia,"China: Guangxi\, Rongan",Illumina HiSeq 2500,NGS-leaf-3,PAIRED,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,2021-08-24T00:00:00Z,2021-08-24T11:33:00Z,1,NGS-leaf-3,SRP333870,young leaf,
SRR15595121,6 month,RNA-Seq,300,6970666800,PRJNA752933,SAMN20956681,Plant,2182763531,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX11892810,China,Asia,"China: Guangxi\, Rongan",Illumina HiSeq 2500,NGS-leaf-2,PAIRED,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,2021-08-24T00:00:00Z,2021-08-24T11:32:00Z,1,NGS-leaf-2,SRP333870,young leaf,
SRR15595122,6 month,RNA-Seq,300,7508326200,PRJNA752933,SAMN20956669,Plant,2401509395,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX11892809,China,Asia,"China: Guangxi\, Rongan",Illumina HiSeq 2500,NGS-leaf-1,PAIRED,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,2021-08-24T00:00:00Z,2021-08-24T11:30:00Z,1,NGS-leaf-1,SRP333870,young leaf,
SRR15595123,6 month,RNA-Seq,2276,1074574240,PRJNA752933,SAMN20667984,Plant,273415189,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"bam,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX11892808,China,Asia,"China: Guangxi\, Rongan",PacBio RS,SMRT_root,SINGLE,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,PACBIO_SMRT,2021-08-24T00:00:00Z,2021-08-24T11:11:00Z,1,SMRT_root,SRP333870,young leaf,"Artemisinin Research Center\, Institute of Chinese Materia Medica."
SRR15595124,6 month,RNA-Seq,2243,867468548,PRJNA752933,SAMN20667821,Plant,220755226,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX11892807,China,Asia,"China: Guangxi\, Rongan",PacBio RS,SMRT_leaf,SINGLE,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,PACBIO_SMRT,2021-08-24T00:00:00Z,2021-08-24T11:10:00Z,1,SMRT_leaf,SRP333870,young leaf,
SRR15595125,6 month,RNA-Seq,300,8732990400,PRJNA752933,SAMN20956699,Plant,2762806126,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX11892812,China,Asia,"China: Guangxi\, Rongan",Illumina HiSeq 2500,NGS-root-1,PAIRED,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,2021-08-24T00:00:00Z,2021-08-24T11:29:00Z,1,NGS-root-1,SRP333870,root,
SRR15595126,6 month,RNA-Seq,300,9800399700,PRJNA752933,SAMN20958565,Plant,3186821933,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX11892806,China,Asia,"China: Guangxi\, Rongan",Illumina HiSeq 2500,NGS-stem-3,PAIRED,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,2021-08-24T00:00:00Z,2021-08-24T11:41:00Z,1,NGS-stem-3,SRP333870,stem,
SRR15595127,6 month,RNA-Seq,300,7829888700,PRJNA752933,SAMN20958525,Plant,2428587884,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,public,YQ7,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11892805,China,Asia,"China: Guangxi\, Rongan",Illumina HiSeq 2500,NGS-stem-2,PAIRED,RT-PCR,TRANSCRIPTOMIC,Artemisia annua,ILLUMINA,2021-08-24T00:00:00Z,2021-08-24T11:28:00Z,1,NGS-stem-2,SRP333870,stem,
